202,Rafaelcs,4,191,/,+/00:05,+/00:11,+/00:31,/,/,+3/01:54,/
202,aymanrasheed7,4,191,/,+/00:05,+/00:11,+/01:00,/,+1/01:45,/,/
1001,mkmkl93,3,203,/,-2/,+/00:14,-4/,+2/01:44,/,+/01:05,/
1005,oreki_hotaro,3,205,/,+1/00:18,+/00:25,+2/02:12,/,/,/,/
806,cy1999,3,144,+2/-1,-1/,+/00:15,+/00:39,/,-6/,+2/01:10,/
2594,whiteshadow98,2,83,/,+3/00:41,+/00:12,-1/,/,/,/,/
2594,llukoil,2,83,/,+1/00:29,+/00:44,-1/,/,/,/,/
2194,cui010,2,58,/,+/00:15,+/00:43,/,/,/,/,/
2194,ccutyear,2,58,/,+/00:17,+1/00:31,-1/,-2/,/,/,/
2997,bushraankhari,2,131,/,+1/01:09,+/00:52,/,/,/,/,/
2997,a_1_tika,2,131,/,+1/01:06,+/00:55,/,/,/,/,/
2799,min1999,2,104,/,+/00:39,+1/00:55,/,/,/,/,/
2799,000,2,104,/,+1/00:29,+/01:05,/,/,/,/,/
1786,sh0w_st0pper,2,41,/,+1/00:12,+/00:19,-1/,/,/,/,/
1786,tirth14,2,41,+1/,+/00:14,+/00:27,-1/,/,/,/,/
2386,TheWildPointer,2,69,/,+1/00:44,+/00:15,-4/,/,/,-3/,/
2386,RedD,2,69,/,+2/00:20,+/00:29,-1/,/,/,/,/
1993,redultimate,2,50,/,+/00:15,+1/00:25,/,/,-1/,/,/
1993,deepanshu,2,50,/,+1/00:16,+/00:24,-1/,/,/,-2/,/
1587,Pisces0311,2,34,/,+/00:10,+/00:24,-2/,/,/,/,/
1587,DpGoel17,2,34,/,+1/00:08,+/00:16,-3/,/,/,-1/,/
5,I_love_Tanya_Romanova,6,204,/,+1/00:02,+/00:05,-1/,+2/00:53,+/00:27,+/00:20,+/01:07
6,hohomu,6,253,/,+/00:02,+/00:05,+/00:10,+/01:29,+1/01:37,+/00:40,-2/
1193,_HossamYehia_,2,20,+2/,+/00:06,+/00:14,-1/,/,/,-2/,/
1193,scnucjh,2,20,/,+/00:06,+/00:14,-1/,/,/,-3/,/
400,Karasick,3,64,/,+/00:04,+/00:06,-1/,+/00:54,/,/,/
400,summitwei,3,64,/,+1/00:04,+1/00:11,/,-1/,/,+/00:29,/
603,jdurie,3,105,+16/,+/00:06,+1/00:14,+1/01:05,-3/,/,/,/
606,yudi,3,106,+2/,+1/00:05,+/00:10,+1/01:11,/,/,-4/,/
1405,prerak872,2,28,/,+/00:08,+/00:20,-1/,/,/,/,/
1405,AsiKesh,2,28,+1/-21,+/00:18,+/00:10,-3/,/,/,/,/
205,DemacianJustice,4,192,+1/,+1/00:06,+/00:10,+1/00:37,-2/,/,+/01:59,/
206,straw_boy,4,193,/,+/00:05,+/00:09,+1/01:01,/,/,+/01:48,/
1006,vladalos,3,206,/,+3/01:21,+/00:12,+2/01:03,/,/,-1/,/
1006,Hahhh,3,206,/,+2/00:26,+1/00:37,/,/,/,+2/01:33,/
806,PredaBoss,3,144,/,+/00:06,+/00:12,-1/,-5/,/,+1/01:56,/
809,tripPple_A,3,145,/,+/00:11,+/00:17,-2/,/,/,+1/01:47,/
2594,zjt9363,2,83,/,+2/00:22,+1/00:31,/,/,/,/,/
2594,The_Blitz,2,83,/,+/00:27,+1/00:46,-1/,/,/,/,/
2194,Kosmonaft,2,58,/,+/00:12,+2/00:26,-2/,/,/,/,/
2194,Hellien,2,58,/,+1/00:14,+1/00:24,/,/,/,/,/
3003,352,2,132,/,+1/01:40,+/00:22,-2/,/,/,/,/
3003,Epsilon_zil,2,132,/,+/00:47,+1/01:15,-1/,/,/,/,/
2799,CE15039,2,104,/,+1/00:38,+/00:56,/,/,/,/,/
2799,HurayraIIT,2,104,/,+4/00:35,+1/00:19,-2/,/,/,/,/
1786,gunny,2,41,/,+1/00:12,+/00:19,-2/,/,/,/,/
1786,vishalm20vishalm20,2,41,/,+/00:14,+/00:27,-5/,/,-1/,/,/
2386,STG005,2,69,/,+/00:16,+1/00:43,/,/,/,/,/
2386,coder.exe,2,69,/,+2/00:18,+/00:31,-1/,/,-2/,/,/
1993,iitr_anurag,2,50,/,+1/00:16,+/00:24,-1/,/,/,-1/,/
1993,minhaz1217,2,50,/,+/00:12,+1/00:28,-1/,/,/,-1/,/
1587,hiThere23,2,34,/,-1/,+/00:08,+/00:26,/,/,-2/,/
7,mghtsl1997,6,283,+2/-1,+/00:04,+/00:10,+/00:31,+/01:16,+/01:55,+/00:47,/
8,Antoine,6,298,/,+/00:02,+/00:06,+/00:18,+3/01:39,+/01:55,+/00:28,/
1193,pseuda1999,2,20,/,+/00:08,+/00:12,-3/,/,/,/,/
1193,grepshe,2,20,/,+/00:05,+/00:15,-2/,/,-3/,-1/,/
400,liqianyu,3,64,/,+/00:09,+/00:18,+/00:37,/,/,-2/,/
606,heskall,3,106,/,+/00:08,+/00:16,/,/,/,+/01:22,/
606,Vasyl_Protsiv,3,106,/,+1/00:06,+/00:12,+/01:18,-3/,/,/,/
1405,_AlwaysBlue_,2,28,/,+/00:10,+/00:18,-3/,/,/,/,/
1405,HazemEssawi,2,28,/,+/00:12,+/00:16,-4/,/,-2/,/,/
207,PKC,4,194,/-1,+/00:06,+/00:15,+/00:49,/,/,+/02:04,/
208,EliasMera,4,195,/,+/00:08,+/00:18,+/01:20,/,/,+/01:29,/
1006,Stepavly,3,206,+2/-32,-3/,+/00:14,+3/00:59,-1/,/,+/01:43,/
1009,icpc_loser,3,207,/-1,-1/,+/00:10,+/00:36,/,/,+4/02:01,/
809,rkn04,3,145,/,+/00:03,+/00:08,-3/,/,+2/01:54,-1/,/
809,gheorghe_armand,3,145,/,-2/,+/00:18,+/00:47,/,/,+/01:20,/
2594,vg1saurabh,2,83,/,+/00:22,+1/00:51,/,/,/,-1/,/
2594,Guvi_Aggy,2,83,/,+4/00:23,+/00:20,/,/,/,/,/
2194,K0u1e,2,58,/,+2/00:13,+/00:25,-3/,/,/,/,/
2194,MasterMind,2,58,/,+1/00:17,+/00:31,-1/,/,/,/,/
3003,PartyIsOver,2,132,/,+/00:16,+4/01:16,/,/,/,/,/
2799,PapasFritas,2,104,/,+2/00:31,+/00:53,/,/,/,/,/
